,Month,Year,Rainfall,WPI,WPI_Pred
0,4,2012,47.5,102.5,
1,5,2012,31.7,107.4,
2,6,2012,117.8,109.7,
3,7,2012,250.2,115.2,
4,8,2012,262.4,119.2,
5,9,2012,193.5,119.0,
6,10,2012,58.7,118.6,
7,11,2012,30.7,118.1,
8,12,2012,11.7,117.4,
9,1,2013,11.3,119.8,
10,2,2013,40.1,120.1,
11,3,2013,15.7,119.5,
12,4,2013,30.4,126.1,
13,5,2013,57.8,127.1,
14,6,2013,219.8,130.6,
15,7,2013,310.0,131.5,
16,8,2013,254.7,132.2,
17,9,2013,152.7,132.7,
18,10,2013,129.4,130.9,
19,11,2013,14.0,134.1,
20,12,2013,6.7,135.6,
21,1,2014,19.2,136.4,
22,2,2014,27.4,136.6,
23,3,2014,36.1,140.8,
24,4,2014,22.2,143.3,
25,5,2014,72.9,145.5,
26,6,2014,95.4,146.2,
27,7,2014,261.2,147.9,
28,8,2014,237.5,150.2,
29,9,2014,188.0,152.6,
30,10,2014,60.2,152.1,
31,11,2014,14.4,153.9,
32,12,2014,10.7,157.5,
33,1,2015,17.4,166.8,
34,2,2015,21.0,166.2,
35,3,2015,62.0,164.9,
36,4,2015,69.4,165.1,
37,5,2015,53.8,177.0,
38,6,2015,192.8,186.3,
39,7,2015,242.4,188.4,
40,8,2015,205.2,195.6,
41,9,2015,131.8,195.1,
42,10,2015,42.9,197.0,
43,11,2015,39.4,198.8,
44,12,2015,15.0,195.5,
45,1,2016,19.3,190.5,
46,2,2016,22.8,184.0,
47,3,2016,27.6,182.3,
48,4,2016,37.4,186.8,
49,5,2016,62.6,190.2,
50,6,2016,168.3,191.0,
51,7,2016,289.1,190.7,
52,8,2016,256.3,185.6,
53,9,2016,171.9,182.0,
54,10,2016,76.1,179.2,
55,11,2016,29.7,176.8,
56,12,2016,14.9,169.6,
57,1,2017,19.0,161.1,
58,2,2017,22.6,156.2,
59,3,2017,27.8,154.0,
60,4,2017,37.9,155.3,
61,5,2017,62.4,148.5,
62,6,2017,168.1,144.5,
63,7,2017,289.3,137.5,
64,8,2017,256.2,136.0,157.5
65,9,2017,171.5,138.3,107.4
66,10,2017,76.3,133.8,136.4
67,11,2017,29.9,130.9,157.5
68,12,2017,15.0,130.3,132.7
69,1,2018,19.2,126.7,147.9
70,2,2018,20.1,122.1,119.8
71,3,2018,27.1,120.6,126.7
72,4,2018,40.2,120.8,115.2
73,5,2018,62.7,120.7,119.5
74,6,2018,165.0,117.8,186.8
75,7,2018,286.3,117.9,166.2
76,8,2018,254.3,121.0,155.3
77,9,2018,171.9,121.8,166.2
78,10,2018,77.2,121.7,156.2
79,11,2018,28.1,121.2,184.0
80,12,2018,14.1,124.6,120.8
