,Month,Year,Rainfall,WPI,WPI_Pred
0,4,2012,47.5,101.2,
1,5,2012,31.7,101.5,
2,6,2012,117.8,102.5,
3,7,2012,250.2,110.7,
4,8,2012,262.4,115.0,
5,9,2012,193.5,112.5,
6,10,2012,58.7,114.0,
7,11,2012,30.7,111.9,
8,12,2012,11.7,110.8,
9,1,2013,11.3,106.5,
10,2,2013,40.1,106.1,
11,3,2013,15.7,112.0,
12,4,2013,30.4,112.0,
13,5,2013,57.8,114.4,
14,6,2013,219.8,115.9,
15,7,2013,310.0,119.1,
16,8,2013,254.7,123.6,
17,9,2013,152.7,120.4,
18,10,2013,129.4,118.7,
19,11,2013,14.0,115.7,
20,12,2013,6.7,112.9,
21,1,2014,19.2,115.7,
22,2,2014,27.4,114.2,
23,3,2014,36.1,111.7,
24,4,2014,22.2,114.9,
25,5,2014,72.9,115.5,
26,6,2014,95.4,120.9,
27,7,2014,261.2,122.8,
28,8,2014,237.5,132.6,
29,9,2014,188.0,125.2,
30,10,2014,60.2,120.7,
31,11,2014,14.4,114.5,
32,12,2014,10.7,111.2,
33,1,2015,17.4,107.7,
34,2,2015,21.0,108.5,
35,3,2015,62.0,113.8,
36,4,2015,69.4,119.4,
37,5,2015,53.8,122.6,
38,6,2015,192.8,125.0,
39,7,2015,242.4,129.8,
40,8,2015,205.2,131.1,
41,9,2015,131.8,141.4,
42,10,2015,42.9,146.2,
43,11,2015,39.4,136.8,
44,12,2015,15.0,140.7,
45,1,2016,19.3,145.3,
46,2,2016,22.8,148.2,
47,3,2016,27.6,150.3,
48,4,2016,37.4,157.2,
49,5,2016,62.6,156.8,
50,6,2016,168.3,164.0,
51,7,2016,289.1,167.8,
52,8,2016,256.3,166.6,
53,9,2016,171.9,164.4,
54,10,2016,76.1,161.8,
55,11,2016,29.7,154.0,
56,12,2016,14.9,156.3,
57,1,2017,19.0,159.0,
58,2,2017,22.6,157.9,
59,3,2017,27.8,156.5,
60,4,2017,37.9,154.5,
61,5,2017,62.4,148.1,
62,6,2017,168.1,145.4,
63,7,2017,289.3,143.5,
64,8,2017,256.2,142.6,125.6330679500752
65,9,2017,171.5,142.9,108.17297279120248
66,10,2017,76.3,138.9,120.9270446158298
67,11,2017,29.9,141.4,125.53689083627069
68,12,2017,15.0,144.8,119.5353181878072
69,1,2018,19.2,143.4,127.00088617810798
70,2,2018,20.1,141.9,114.05433900730714
71,3,2018,27.1,137.7,149.01451447137333
72,4,2018,40.2,134.4,113.24861694472384
73,5,2018,62.7,133.9,114.98532785594762
74,6,2018,165.0,136.6,137.0996989615196
75,7,2018,286.3,138.5,127.3047663297748
76,8,2018,254.3,140.3,146.8901870133286
77,9,2018,171.9,141.1,128.9805357527821
78,10,2018,77.2,141.8,147.21783530924586
79,11,2018,28.1,139.5,134.377726015382
80,12,2018,14.1,140.2,151.19486901182972
